Date,Close/Last,Volume,Open,High,Low
09/20/2024,40.27,70725040,40.62,40.73,40.24
09/19/2024,40.87,57977750,40.04,41.045,40.01
09/18/2024,39.62,42527830,39.62,40.12,39.415
09/17/2024,39.55,27769380,39.28,39.80,39.21
09/16/2024,39.10,26336360,38.81,39.21,38.79
09/13/2024,38.65,31887310,38.88,39.09,38.44
09/12/2024,38.78,39948810,39.05,39.33,38.535
09/11/2024,39.00,41190040,38.99,39.03,38.01
09/10/2024,39.28,53983880,39.84,39.84,38.325
09/09/2024,39.47,37610210,39.25,39.705,39.1001
09/06/2024,38.76,47007590,39.77,39.875,38.56
09/05/2024,40.14,34214540,40.80,40.94,40.01
09/04/2024,40.50,39629640,40.66,40.95,40.28
09/03/2024,40.70,48489320,40.58,40.90,40.23
08/30/2024,40.75,49098180,40.17,40.86,40.13
08/29/2024,40.17,34810840,40.05,40.34,39.53
08/28/2024,39.95,40700530,39.34,40.27,39.33
08/27/2024,39.67,32323910,40.00,40.125,39.61
08/26/2024,39.92,44659530,40.00,40.20,39.66
08/23/2024,39.77,45616650,39.27,40.17,39.27
08/22/2024,39.24,35421640,38.78,39.29,38.565
08/21/2024,38.75,33751070,38.87,38.995,38.385
08/20/2024,38.69,44440760,39.12,39.24,38.34
08/19/2024,39.67,27268920,39.48,39.745,39.45
08/16/2024,39.34,26886620,39.00,39.42,38.99
08/15/2024,39.03,37379820,39.43,39.68,38.965
08/14/2024,38.81,25658860,38.52,38.915,38.43
08/13/2024,38.46,21553470,38.37,38.48,38.12
08/12/2024,38.17,33040640,38.50,38.7299,38.01
08/09/2024,38.28,26411230,38.16,38.45,37.905
08/08/2024,38.21,36557830,37.82,38.415,37.66
08/07/2024,37.30,44952350,38.10,38.585,37.27
08/06/2024,36.92,40614120,36.65,37.31,36.54
08/05/2024,36.65,76075190,35.65,36.955,35.14
08/02/2024,37.58,76727990,38.00,38.53,37.18
08/01/2024,39.50,60107850,40.44,40.45,38.98
07/31/2024,40.31,50851580,41.23,41.38,40.22
07/30/2024,41.28,44163170,41.05,41.89,40.81
07/29/2024,41.09,37133080,41.78,41.878,40.981
07/26/2024,41.67,52049330,41.58,41.96,41.41
07/25/2024,41.68,41593860,42.02,42.295,41.66
07/24/2024,42.19,36567180,42.28,42.75,42.07
07/23/2024,42.41,36705130,42.22,42.78,42.15
07/22/2024,42.30,42838320,42.64,42.87,41.955
07/19/2024,42.90,43902970,42.86,43.56,42.69
07/18/2024,43.01,48549220,43.62,44.24,42.93
07/17/2024,43.98,65713650,43.65,44.44,43.65
07/16/2024,44.13,75953350,42.52,44.40,42.22
07/15/2024,41.89,36648100,41.85,42.23,41.70
07/12/2024,41.59,31856590,41.49,41.915,41.09
07/11/2024,41.81,33824580,41.77,41.90,41.39
07/10/2024,41.74,25333390,41.28,41.76,41.07
07/09/2024,41.42,34721690,40.76,41.83,40.60
07/08/2024,40.62,26728500,40.60,41.04,40.43
07/05/2024,40.41,23488970,40.93,40.955,40.29
07/03/2024,40.90,17100670,41.02,41.20,40.75
07/02/2024,40.93,35626090,40.00,40.96,39.96
07/01/2024,40.01,26770470,39.91,40.34,39.675
06/28/2024,39.77,52028200,39.74,40.055,39.315
06/27/2024,39.25,29464190,38.70,39.35,38.335
06/26/2024,39.00,44310220,39.17,39.35,38.47
06/25/2024,39.38,30928600,39.78,40.07,39.355
06/24/2024,40.02,31064890,39.77,40.34,39.65
06/21/2024,39.49,72251510,39.855,39.905,39.37
06/20/2024,39.99,29383290,39.78,40.31,39.75
06/18/2024,39.99,30804470,39.56,40.02,39.46
06/17/2024,39.51,26135370,39.09,39.53,38.98
