Date,Close/Last,Volume,Open,High,Low
09/20/2024,266.80,11463170,266.01,270.32,261.32
09/19/2024,265.99,11022830,260.72,269.54,258.05
09/18/2024,252.43,4436734,256.00,256.12,250.96
09/17/2024,255.19,5423388,258.72,259.37,254.76
09/16/2024,256.91,5367024,254.57,257.81,254.57
09/13/2024,254.57,4998901,252.54,256.83,252.445
09/12/2024,253.37,5221397,251.39,254.14,249.57
09/11/2024,249.57,4822215,244.81,250.02,242.0141
09/10/2024,246.16,3544808,247.13,247.34,243.311
09/09/2024,245.76,4588809,246.50,249.36,244.77
09/06/2024,243.97,6259431,247.74,250.00,241.4401
09/05/2024,246.12,4083624,245.98,248.4999,245.00
09/04/2024,247.68,4706546,246.47,249.48,245.16
09/03/2024,248.06,6190352,252.62,253.69,246.64
08/30/2024,252.90,10507700,257.44,259.13,251.00
08/29/2024,257.01,14301690,271.01,271.95,256.28
08/28/2024,258.90,10981900,261.83,265.18,257.36
08/27/2024,264.20,5276384,259.65,264.46,259.40
08/26/2024,265.28,3818271,263.94,267.30,263.24
08/23/2024,264.00,4711326,261.99,265.60,260.70
08/22/2024,258.59,5111442,261.50,263.26,257.27
08/21/2024,261.09,4648204,261.10,262.14,259.18
08/20/2024,261.84,5731309,264.95,265.50,261.03
08/19/2024,265.38,4501262,263.10,265.39,261.63
08/16/2024,262.91,3494863,261.75,263.60,259.68
08/15/2024,262.79,5167930,257.90,262.89,256.24
08/14/2024,255.32,4145248,255.39,257.71,253.86
08/13/2024,254.60,4031818,253.00,255.78,253.00
08/12/2024,251.31,3679904,252.60,254.09,249.02
08/09/2024,252.53,2975285,248.70,252.95,248.45
08/08/2024,249.12,4474252,243.24,249.43,243.08
08/07/2024,240.04,4035549,242.61,246.53,239.66
08/06/2024,238.42,5673889,241.09,243.85,238.03
08/05/2024,239.01,6899342,232.32,241.82,232.21
08/02/2024,243.97,6504544,247.79,248.00,241.1165
08/01/2024,253.06,5527395,259.90,263.36,249.74
07/31/2024,258.80,4647690,256.21,261.83,255.35
07/30/2024,257.93,3944295,259.62,260.75,255.12
07/29/2024,258.59,5101425,262.71,266.075,258.52
07/26/2024,262.71,6127323,258.17,264.49,257.07
07/25/2024,256.52,7155846,254.74,264.08,251.7245
07/24/2024,249.78,5204088,253.63,255.91,248.90
07/23/2024,256.06,3905543,256.59,257.33,253.7513
07/22/2024,254.08,5647588,248.75,255.58,248.00
07/19/2024,247.63,4468875,248.65,248.99,245.17
07/18/2024,247.35,6351643,252.14,252.45,245.72
07/17/2024,251.22,5625254,254.00,255.57,249.61
07/16/2024,256.03,4780386,253.78,256.78,252.67
07/15/2024,252.86,4404270,256.02,256.39,252.12
07/12/2024,253.97,4705492,251.62,255.29,249.69
07/11/2024,251.12,5343727,252.60,255.42,250.92
