Date,Close/Last,Volume,Open,High,Low,Adjusted Close
09/20/2024,99.39,N/A,99.39,99.39,99.39,99.39
09/19/2024,99.16,N/A,99.16,99.16,99.16,99.16
09/18/2024,99.25,N/A,99.25,99.25,99.25,99.25
09/17/2024,99.14,N/A,99.14,99.14,99.14,99.14
09/16/2024,99.14,N/A,99.14,99.14,99.14,99.14
09/13/2024,98.64,N/A,98.64,98.64,98.64,98.64
09/12/2024,98.66,N/A,98.66,98.66,98.66,98.66
09/11/2024,98.52,N/A,98.52,98.52,98.52,98.52
09/10/2024,98.37,N/A,98.37,98.37,98.37,98.37
09/09/2024,98.37,N/A,98.37,98.37,98.37,98.37
09/06/2024,98.49,N/A,98.49,98.49,98.49,98.49
09/05/2024,98.45,N/A,98.45,98.45,98.45,98.45
09/04/2024,98.45,N/A,98.45,98.45,98.45,98.45
09/03/2024,98.45,N/A,98.45,98.45,98.45,98.45
08/30/2024,98.42,N/A,98.42,98.42,98.42,98.42
08/29/2024,98.53,N/A,98.53,98.53,98.53,98.53
08/28/2024,98.47,N/A,98.47,98.47,98.47,98.47
08/27/2024,98.5,N/A,98.5,98.5,98.5,98.5
08/26/2024,98.5,N/A,98.5,98.5,98.5,98.5
08/23/2024,98.41,N/A,98.41,98.41,98.41,98.41
08/22/2024,98.34,N/A,98.34,98.34,98.34,98.34
08/21/2024,98.28,N/A,98.28,98.28,98.28,98.28
08/20/2024,98.18,N/A,98.18,98.18,98.18,98.18
08/19/2024,98.18,N/A,98.18,98.18,98.18,98.18
08/16/2024,97.96,N/A,97.96,97.96,97.96,97.96
08/15/2024,97.94,N/A,97.94,97.94,97.94,97.94
08/14/2024,97.81,N/A,97.81,97.81,97.81,97.81
08/13/2024,97.72,N/A,97.72,97.72,97.72,97.72
08/12/2024,97.72,N/A,97.72,97.72,97.72,97.72
08/09/2024,97.5,N/A,97.5,97.5,97.5,97.5
08/08/2024,97.58,N/A,97.58,97.58,97.58,97.58
08/07/2024,97.46,N/A,97.46,97.46,97.46,97.46
08/06/2024,97.67,N/A,97.67,97.67,97.67,97.67
08/05/2024,97.67,N/A,97.67,97.67,97.67,97.67
08/02/2024,98,N/A,98,98,98,98
08/01/2024,97.69,N/A,97.69,97.69,97.69,97.69
07/31/2024,97.65,N/A,97.65,97.65,97.65,97.65
07/30/2024,97.69,N/A,97.69,97.69,97.69,97.69
07/29/2024,97.69,N/A,97.69,97.69,97.69,97.69
07/26/2024,97.64,N/A,97.64,97.64,97.64,97.64
07/25/2024,97.92,N/A,97.92,97.92,97.92,97.92
07/24/2024,97.88,N/A,97.88,97.88,97.88,97.88
07/23/2024,98.13,N/A,98.13,98.13,98.13,98.13
07/22/2024,98.13,N/A,98.13,98.13,98.13,98.13
07/19/2024,98.13,N/A,98.13,98.13,98.13,98.13
07/18/2024,98.13,N/A,98.13,98.13,98.13,98.13
07/17/2024,98.13,N/A,98.13,98.13,98.13,98.13
07/16/2024,97.93,N/A,97.93,97.93,97.93,97.93
07/15/2024,97.93,N/A,97.93,97.93,97.93,97.93
07/12/2024,97.57,N/A,97.57,97.57,97.57,97.57
07/11/2024,97.57,N/A,97.57,97.57,97.57,97.57
07/10/2024,97.64,N/A,97.64,97.64,97.64,97.64
07/09/2024,97.64,N/A,97.64,97.64,97.64,97.64
07/08/2024,97.64,N/A,97.64,97.64,97.64,97.64
07/05/2024,97.23,N/A,97.23,97.23,97.23,97.23
07/03/2024,97.13,N/A,97.13,97.13,97.13,97.13
07/02/2024,97.1,N/A,97.1,97.1,97.1,97.1
07/01/2024,97.1,N/A,97.1,97.1,97.1,97.1
06/28/2024,97.03,N/A,97.03,97.03,97.03,97.03
06/27/2024,96.99,N/A,96.99,96.99,96.99,96.99
06/26/2024,96.99,N/A,96.99,96.99,96.99,96.99
06/25/2024,96.9,N/A,96.9,96.9,96.9,96.9
06/24/2024,96.9,N/A,96.9,96.9,96.9,96.9
06/21/2024,96.86,N/A,96.86,96.86,96.86,96.86
06/20/2024,96.86,N/A,96.86,96.86,96.86,96.86
06/18/2024,96.86,N/A,96.86,96.86,96.86,96.86
06/17/2024,96.74,N/A,96.74,96.74,96.74,96.74
06/14/2024,96.75,N/A,96.75,96.75,96.75,96.75
06/13/2024,96.75,N/A,96.75,96.75,96.75,96.75
06/12/2024,96.75,N/A,96.75,96.75,96.75,96.75
06/11/2024,96.64,N/A,96.64,96.64,96.64,96.64
06/10/2024,96.64,N/A,96.64,96.64,96.64,96.64
06/07/2024,96.86,N/A,96.86,96.86,96.86,96.86
06/06/2024,96.67,N/A,96.67,96.67,96.67,96.67
06/05/2024,96.62,N/A,96.62,96.62,96.62,96.62
