Date,price,bac,meta,msft,spx,amd,crm
09/20/2024,228.2,40.27,561.35,435.27,5702.55,155.95,266.8
09/19/2024,228.87,40.87,559.1,438.69,5713.64,156.74,265.99
09/18/2024,220.69,39.62,537.95,430.81,5618.26,148.29,252.43
09/17/2024,216.79,39.55,536.315,435.15,5634.58,150.82,255.19
09/16/2024,216.32,39.1,533.28,431.34,5633.09,152.08,256.91
09/13/2024,222.5,38.65,524.62,430.59,5626.02,152.31,254.57
09/12/2024,222.77,38.78,525.6,427.0,5595.76,150.77,253.37
09/11/2024,222.66,39.0,511.83,423.04,5554.13,149.86,249.57
09/10/2024,220.11,39.28,504.79,414.2,5495.52,142.84,246.16
09/09/2024,220.91,39.47,504.79,405.72,5471.05,138.15,245.76
09/06/2024,220.82,38.76,500.27,401.7,5408.42,134.35,243.97
09/05/2024,222.38,40.14,516.86,408.39,5503.41,139.44,246.12
09/04/2024,220.85,40.5,512.74,408.9,5520.07,140.87,247.68
09/03/2024,222.77,40.7,511.76,409.44,5528.93,136.94,248.06
08/30/2024,229.0,40.75,521.31,417.14,5648.4,148.56,252.9
08/29/2024,229.79,40.17,518.22,413.12,5591.96,145.49,257.01
08/28/2024,226.49,39.95,516.78,410.6,5592.18,146.36,258.9
08/27/2024,228.03,39.67,519.1,413.84,5625.8,150.5,264.2
08/26/2024,227.18,39.92,521.12,413.49,5616.84,149.99,265.28
08/23/2024,226.84,39.77,528.0,416.79,5634.61,154.98,264.0
08/22/2024,224.53,39.24,531.93,415.55,5570.64,151.7,258.59
08/21/2024,226.4,38.75,535.16,424.14,5620.85,157.81,261.09
08/20/2024,226.51,38.69,526.73,424.8,5597.12,156.4,261.84
08/19/2024,225.89,39.67,529.28,421.53,5608.25,155.28,265.38
08/16/2024,226.05,39.34,527.42,418.47,5554.25,148.56,262.91
08/15/2024,224.72,39.03,537.33,421.03,5543.22,147.36,262.79
08/14/2024,221.72,38.81,526.76,416.86,5455.21,140.75,255.32
08/13/2024,221.27,38.46,528.54,414.01,5434.43,141.13,254.6
08/12/2024,217.53,38.17,515.95,406.81,5344.39,136.77,251.31
08/09/2024,216.24,38.28,517.77,406.02,5344.16,134.27,252.53
08/08/2024,213.31,38.21,509.63,402.69,5319.31,136.32,249.12
08/07/2024,209.82,37.3,488.92,398.43,5199.5,128.67,240.04
08/06/2024,207.23,36.92,494.09,399.61,5240.03,130.18,238.42
08/05/2024,209.27,36.65,475.73,395.15,5186.33,134.82,239.01
08/02/2024,219.86,37.58,488.14,408.49,5346.56,132.5,243.97
08/01/2024,218.36,39.5,497.74,417.11,5446.68,132.54,253.06
07/31/2024,222.08,40.31,474.83,418.35,5522.3,144.48,258.8
07/30/2024,218.8,41.28,463.19,422.92,5436.44,138.44,257.93
07/29/2024,218.24,41.09,465.71,426.73,5463.54,139.75,258.59
07/26/2024,217.96,41.67,465.7,425.27,5459.1,139.99,262.71
07/25/2024,217.49,41.68,453.41,418.4,5399.22,138.32,256.52
07/24/2024,218.54,42.19,461.27,428.9,5427.13,144.63,249.78
07/23/2024,225.01,42.41,488.69,444.85,5555.74,154.0,256.06
07/22/2024,223.96,42.3,487.4,442.94,5564.41,155.87,254.08
07/19/2024,224.31,42.9,476.79,437.11,5505.0,151.58,247.63
07/18/2024,224.18,43.01,475.85,440.37,5544.59,155.77,247.35
07/17/2024,228.88,43.98,461.99,443.52,5588.27,159.43,251.22
07/16/2024,234.82,44.13,489.79,449.52,5667.2,177.55,256.03
07/15/2024,234.4,41.89,496.16,453.96,5631.22,179.83,252.86
07/12/2024,230.54,41.59,498.87,453.55,5615.35,181.61,253.97
07/11/2024,227.57,41.81,512.7,454.7,5584.54,181.94,251.12
07/10/2024,232.98,41.74,534.69,466.25,5633.91,183.96,252.59
07/09/2024,228.68,41.42,530.0,459.54,5576.98,177.1,252.43
07/08/2024,227.82,40.62,529.32,466.24,5572.85,178.69,257.37
07/05/2024,226.34,40.41,539.91,467.56,5567.19,171.9,263.19
07/03/2024,221.55,40.9,509.96,460.77,5537.02,163.9,260.95
07/02/2024,220.27,40.93,509.5,459.28,5509.01,164.31,256.19
07/01/2024,216.75,40.01,504.68,456.73,5475.09,157.69,256.21
06/28/2024,210.62,39.77,504.22,446.95,5460.48,162.21,257.1
06/27/2024,214.1,39.25,519.56,452.85,5482.87,159.47,252.85
06/26/2024,213.25,39.0,513.12,452.16,5477.9,157.54,243.15
06/25/2024,209.07,39.38,510.6,450.95,5469.3,160.25,241.76
06/24/2024,208.14,40.02,498.91,447.67,5447.87,160.25,239.94
